full_tone_period_a	full_tone_period_b	full_tone_period_c	volumeA	volumeB	volumeC	mask_a	mask_b	mask_c	full_envelope_period	envelope_shape	noise_period
1570	279	75	8	16	0	0|1|0	0|1|0	0|1|0	0	0	0
0	0	76	0	0	7	0|0|0	0|0|0	0|0|0	0	0	0
0	0	221	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	249	280	15	15	0	1|0|0	0|1|0	0|1|0	42	10	0
0	0	25	9	0	0	0|0|0	0|0|0	0|0|0	0	0	0
2655	0	79	16	0	0	0|1|0	0|1|0	0|1|0	0	0	0
0	0	77	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	221	0	11	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	220	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	277	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	20	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
866	221	186	15	16	11	0|0|0	0|0|0	0|0|0	0	8	0
1058	0	0	14	0	13	0|0|0	0|0|0	0|0|0	0	0	0
1280	0	221	12	0	14	0|1|0	1|1|0	0|1|0	0	0	0
226	0	0	10	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1570	0	279	8	16	13	0|1|0	0|1|0	0|1|0	0	0	0
0	249	0	0	0	12	0|0|0	0|0|0	0|0|0	0	0	0
0	0	186	0	0	11	0|1|0	1|1|0	0|1|0	0	0	0
0	0	222	15	15	0	1|0|0	0|1|0	0|1|0	35	10	0
0	221	223	9	0	0	0|0|0	0|0|0	0|0|0	0	0	0
2232	0	282	16	0	0	0|1|0	0|1|0	0|1|0	0	0	0
